When,Vehicle,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
04/01/1948,"Total, new motor vehicles",0,0,19286,0,0,0,0,0,0,0,0
04/01/1948,Passenger cars,0,0,11725,0,0,0,0,0,0,0,0
04/01/1948,Trucks,0,0,7561,0,0,0,0,0,0,0,0
05/01/1948,Trucks,0,0,7788,0,0,0,0,0,0,0,0
05/01/1948,Passenger cars,0,0,10963,0,0,0,0,0,0,0,0
05/01/1948,"Total, new motor vehicles",0,0,18751,0,0,0,0,0,0,0,0
06/01/1948,"Total, new motor vehicles",0,0,21626,0,0,0,0,0,0,0,0
06/01/1948,Passenger cars,0,0,12855,0,0,0,0,0,0,0,0
06/01/1948,Trucks,0,0,8771,0,0,0,0,0,0,0,0
07/01/1948,Trucks,0,0,5868,0,0,0,0,0,0,0,0
07/01/1948,Passenger cars,0,0,10296,0,0,0,0,0,0,0,0
07/01/1948,"Total, new motor vehicles",0,0,16164,0,0,0,0,0,0,0,0
08/01/1948,"Total, new motor vehicles",0,0,13676,0,0,0,0,0,0,0,0
08/01/1948,Passenger cars,0,0,9656,0,0,0,0,0,0,0,0
08/01/1948,Trucks,0,0,4020,0,0,0,0,0,0,0,0
09/01/1948,Trucks,0,0,5729,0,0,0,0,0,0,0,0
09/01/1948,Passenger cars,0,0,13278,0,0,0,0,0,0,0,0
09/01/1948,"Total, new motor vehicles",0,0,19007,0,0,0,0,0,0,0,0
10/01/1948,"Total, new motor vehicles",0,0,21110,0,0,0,0,0,0,0,0
10/01/1948,Passenger cars,0,0,15060,0,0,0,0,0,0,0,0
10/01/1948,Trucks,0,0,6050,0,0,0,0,0,0,0,0
11/01/1948,Trucks,0,0,6717,0,0,0,0,0,0,0,0
11/01/1948,Passenger cars,0,0,15628,0,0,0,0,0,0,0,0
11/01/1948,"Total, new motor vehicles",0,0,22345,0,0,0,0,0,0,0,0
12/01/1948,"Total, new motor vehicles",0,0,21464,0,0,0,0,0,0,0,0
12/01/1948,Passenger cars,0,0,15235,0,0,0,0,0,0,0,0
12/01/1948,Trucks,0,0,6229,0,0,0,0,0,0,0,0
01/01/1949,Trucks,0,0,5301,0,0,0,0,0,0,0,0
01/01/1949,Passenger cars,0,0,6537,0,0,0,0,0,0,0,0
01/01/1949,"Total, new motor vehicles",0,0,11838,0,0,0,0,0,0,0,0
02/01/1949,"Total, new motor vehicles",0,0,15301,0,0,0,0,0,0,0,0
02/01/1949,Passenger cars,0,0,8833,0,0,0,0,0,0,0,0
02/01/1949,Trucks,0,0,6468,0,0,0,0,0,0,0,0
03/01/1949,Trucks,0,0,7653,0,0,0,0,0,0,0,0
03/01/1949,Passenger cars,0,0,17401,0,0,0,0,0,0,0,0
03/01/1949,"Total, new motor vehicles",0,0,25054,0,0,0,0,0,0,0,0
04/01/1949,"Total, new motor vehicles",0,0,29314,0,0,0,0,0,0,0,0
04/01/1949,Passenger cars,0,0,20764,0,0,0,0,0,0,0,0
04/01/1949,Trucks,0,0,8550,0,0,0,0,0,0,0,0
05/01/1949,Trucks,0,0,8693,0,0,0,0,0,0,0,0
05/01/1949,Passenger cars,0,0,19692,0,0,0,0,0,0,0,0
05/01/1949,"Total, new motor vehicles",0,0,28385,0,0,0,0,0,0,0,0
06/01/1949,"Total, new motor vehicles",0,0,27829,0,0,0,0,0,0,0,0
06/01/1949,Passenger cars,0,0,20035,0,0,0,0,0,0,0,0
06/01/1949,Trucks,0,0,7794,0,0,0,0,0,0,0,0
07/01/1949,Trucks,0,0,7120,0,0,0,0,0,0,0,0
07/01/1949,Passenger cars,0,0,22057,0,0,0,0,0,0,0,0
07/01/1949,"Total, new motor vehicles",0,0,29177,0,0,0,0,0,0,0,0
08/01/1949,"Total, new motor vehicles",0,0,18561,0,0,0,0,0,0,0,0
08/01/1949,Passenger cars,0,0,13083,0,0,0,0,0,0,0,0
08/01/1949,Trucks,0,0,5478,0,0,0,0,0,0,0,0
09/01/1949,Trucks,0,0,7752,0,0,0,0,0,0,0,0
09/01/1949,Passenger cars,0,0,20487,0,0,0,0,0,0,0,0
09/01/1949,"Total, new motor vehicles",0,0,28239,0,0,0,0,0,0,0,0
10/01/1949,"Total, new motor vehicles",0,0,30722,0,0,0,0,0,0,0,0
10/01/1949,Passenger cars,0,0,22548,0,0,0,0,0,0,0,0
