REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1981,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65,,,,1
1982,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,64.4,,,,1
1983,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,64.7,,,,1
1984,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65,,,,1
1985,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.6,,,,1
1986,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.1,,,,1
1987,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.5,,,,1
1988,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.8,,,,1
1989,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.3,,,,1
1990,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.1,,,,1
1991,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.6,,,,1
1992,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.7,,,,1
1993,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.3,,,,1
1994,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.2,,,,1
1995,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,64.8,,,,1
1996,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,64.7,,,,1
1997,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,64.9,,,,1
1998,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.1,,,,1
1999,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.5,,,,1
2000,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.8,,,,1
2001,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.9,,,,1
2002,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.9,,,,1
2003,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.6,,,,1
2004,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.5,,,,1
2005,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.1,,,,1
2006,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67,,,,1
2007,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.4,,,,1
2008,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.6,,,,1
2009,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,67.1,,,,1
2010,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.9,,,,1
2011,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.7,,,,1
2012,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.5,,,,1
2013,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66.5,,,,1
2014,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,66,,,,1
2015,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.8,,,,1
2016,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.7,,,,1
2017,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.8,,,,1
2018,Canada,2016A000011124,Participation rate,Both sexes,15 years and over,Percentage,242,units,0,v2461245,1.9.1.1,65.4,,,,1
1976,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,77.7,,,,1
1977,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,77.6,,,,1
1978,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,77.9,,,,1
1979,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,78.4,,,,1
1980,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,78.3,,,,1
1981,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,78.4,,,,1
1982,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,77,,,,1
1983,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.9,,,,1
1984,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.7,,,,1
1985,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.7,,,,1
1986,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.9,,,,1
1987,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.8,,,,1
1988,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.6,,,,1
1989,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.8,,,,1
1990,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,76.1,,,,1
1991,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,75,,,,1
1992,Canada,2016A000011124,Participation rate,Males,15 years and over,Percentage,242,units,0,v2461455,1.9.2.1,73.9,,,,1
